Zeitstempel,Spalte 1,Spalte 2,Spalte 3,Spalte 4,Spalte 5,Spalte 6,Spalte 7,Spalte 8,Spalte 9,Spalte 10,Spalte 11,Spalte 12,Spalte 13,Spalte 14,Spalte 15,Spalte 16,Spalte 17,Spalte 18,Spalte 19,Spalte 20,Spalte 21,Spalte 22,Spalte 23,Spalte 24,Spalte 25,Spalte 26
18.08.2026 15:54:31,3,4,4,2,3,3,4,5,4,4,4,2,3,3,4,4,2,3,2,3,4,3,2,2,3,2
20.08.2026 15:24:02,4,4,2,3,3,4,3,4,3,2,3,2,4,3,4,4,2,3,2,4,2,4,1,3,2,4
21.08.2026 09:46:28,4,4,3,2,2,3,3,4,2,4,4,2,4,3,3,4,3,3,2,3,2,3,1,2,3,4
21.08.2026 19:04:03,3,2,2,1,3,3,4,2,1,1,4,2,3,4,5,3,2,2,4,4,3,3,2,2,3,5
24.08.2026 14:03:51,5,5,2,1,1,5,5,3,1,1,5,1,5,5,5,5,2,1,2,5,2,5,1,1,1,5
24.08.2026 14:14:04,4,4,1,1,1,5,5,4,1,1,5,1,4,5,5,5,1,1,1,5,2,5,2,1,1,5
